,Heading,Date,Content
539,Govt told to study Umngot power project feasibility,"Friday, July 24, 2015","SHILLONG: The Central Electric Authority (CEA) has asked the State Government to conduct an extensive study on feasibility of Umngot hydro power project.
Speaking to The Shillong Times, the MeECL senior engineer Elias Lyngdoh said that the CEA has accepted the Techno Commercial Clearance (TEC) but wants MeECL to conduct an extensive study on the project.
The much-awaited and yet arguably the most controversial 240 mw Umngot hydro power project has cleared most of the hurdles. The detailed project report has been completed for the project.   The estimated budget of the project would be around Rs 1700 crore. However, it is feared that several swathes of agricultural land on the banks of the Umngot, which emanates from Smit village and flows to Bangladesh, could be inundated once the project takes off.
Reacting to a query about the land acquisition, Lyngdoh said that the land acquisition will follow later since there might be a change of site “if the CEA orders for it.”
Initially, the State government had approved the state-owned MeECL to execute the Umngot hydro electric project, estimated at a cost of Rs.1,853 crore in an area of 390 hectares straddling on both Jaintia Hills and East Khasi Hills districts.
Later, an empowered committee decided to hand over the project to the Jaypee Group stating MeECL will not be able to execute the project due to ‘various reasons’."
540,Two drown,"Friday, July 24, 2015",SHILLONG: Two Bangladeshi citizens on Wednesday drowned in Umngot river. BSF sources said that  the incident took place well inside the territory of Bangladesh. The bodies have not been recovered yet and hence their identity is yet to be ascertained.
541,KHADC to preserve ‘Law Adong’ sans Hima consent,"Friday, July 24, 2015","SHILLONG: The KHADC have maintained that they are not going to accept the decision of the Hima Mylliem to scrap the agreement which was signed for declaring the lush pine plantation at “Law Syiem” at Lum Mawpat as “Law Adong” (reserve forest).
“We will go ahead to present the lush pine plantation which spread over a 1700 acres of land as “Law Adong” even without the consent of the Hima Mylliem. There is no question to backtrack from the agreement which was signed on May last year,” KHADC CEM Pynshngaiñ N Syiem told on Thursday.
He also said that the decision to sign the agreement was decided by both the KHADC and Hima Mylliem.
“Therefore, we will not allow the Hima Mylliem to take the decision when it comes to the Law Syiem. We expect the Hima Mylliem to take us into confidence while taking any kind of decision on this particular forest cover,” KHADC CEM said.
According to him, one of the clauses in the agreement has clearly stated that, both the KHADC and the Hima Mylliem shall jointly be responsible for regulation, management, maintenance and conservation of the ‘Law Adong’.
Syiem also informed that they have also received a letter from the office of Hima Mylliem which was signed by the Deputy Syiem, Thwelson Manik Syiem to the KHADC on July 14 urging the council to scrap the agreement.
”We will not allow that the agreement is scrap at any cost. We are very clear that the decision to convert the “Law Syiem” into “Law Adong” needs to be respected by both the parties,” he added.
The KHADC CEM also said that they have also replied to the letter of the Hima Mylliem by making its stand clear that it will not at any cost withdraw or scrap the agreement.
It may be mentioned that on May 22 last year, Mylliem Syiemship represented by the Syiem and the Myntris had entered into an agreement with the KHADC represented by the CEM and EM Forest to jointly manage the Pine Forest and convert it into a ‘Law Adong’ (Reserved Forest by which no one is allowed to touch the pine trees and other species including shrubs or cause wild fire).
Later, both the parties also declared the Mawpat forest as ‘Law Adong’ or ‘Reserve Forest’ on June 5, 2014, which coincides with the World Environment Day celebrations in the state.
While referring to the letter of the Hima Mylliem, the Executive Member in-charge Forest Grace Mary Kharpuri said that in the letter they  have stated that the reason behind the demand to scrap of the agreement was that they wanted to preserve the forest.“I failed to understand when the goal of both the parties is to preserve the forest then why they (Hima Mylliem) wanted to scrap the agreement.”She further informed that the district council has already sanction a fund of Rs 16 lakhs for construction of the proposed forest quarter at Lum Mawpat, the aim of which is to ensure that the forest is protected.They have also questioned the reason behind the letter being sent by the deputy Syiem inspite of the agreement being signed by the Syiem of Hima Mylliem."
542,Clan removes Rangbah Kur over tree felling,"Friday, July 24, 2015","SHILLONG: The Dorbar Kur Thangkhiew Lai-Kpoh clan has clarified that it has removed Asirshon Thangkhiew as the Rangbah Kur (elder of the clan).
“We have decided to remove him (Asirshon Thangkhiew) as the Rangbah Kur of the clan during the general meeting of the clam held on July 11,” Dorbar Kur Thangkhiew Lai-Kpoh president Livingstone Thangkhiew informed while addressing newsmen here on Thursday.
He said that he was surprised to see the former Rangbah Kur claiming in a statement that appeared in the media, that he is still the elder of the clan.
The clan’s president alleged that Asirshon Thangkhiew was involved in the illegal selling of trees from the forest areas of Them Wah Pomdngiem, Boyce Road, belonging to the clan.
Stating that he was surprised to know that the former Rangbah Kur claimed that the Forest department had given permission to fell  only 20 numbers of trees, he said that they got the proof that the department had given permission to cut down at least 38 trees.
“He (Asirshon Thangkhiew) sold the trees which were cut down from the forest areas of the clan for his own self interest,” the clan president said.
He further accused that the former Rangbah Kur have also failed to submit the report on the land compensation   which was paid by NEHU in 2011.
“We have no knowledge what was the amount paid by NEHU as the land compensation till date,” Thangkhiew added."
543,News Capsule,"Friday, July 24, 2015","Office shifted
The office of the District Social Welfare Officer, East Khasi Hills, Shillong, has been shifted to the new building of Nicholas Wahlang at Lower Lachumiere , Shillong-1 opposite V.W. bonded Warehouse. This is for the information of all concerned.Ceremony
The Valedictory Ceremony of the Diamond Jubilee celebration of Sri Sarada Sangha will be held on July 25, at the auditorium of the Ramakrishna Mission, Laitumkhrah, from 4 pm. The celebration will be attended by A.L. Hek, Minister, information and public relation, Swami Purnanandaji Maharaj, Senior Monk, Ramakrishna Mission, Shillong and Dr. Somnath Bhattacharya, Prof. Jadavpur University, Kolkata.SBBL gun found
One SBBL Gun issued by the District Magistrate, East Khasi Hills to Wanbok Mukhim of Mawlang Village was found by a citizen on the road on July 10 and it is kept in the custody of Madanrting police station. The genuine holder may approach the police.Seminar
UGC sponsored, 2-day national seminar on ‘Climatic Abberations: Contemporary Dilemma of the Anthropogenic climate in Socio and Ecological issues’. The event is organised jointly by departments of Chemistry and Botany of Sankerdev College from 23 to 24 of July."
544,Nongpoh flash floods: KSU blames four lane project,"Friday, July 24, 2015","NONGPOH: Embittered with the present situation of Nongpoh Town and its adjacent areas being affected with flash floods during this monsoon, the Khasi Student Union (KSU), North Khasi Hills District Unit has blamed the District Administration and the implementing agency of the four-lane project in Ri Bhoi District.
The populace of Nongpoh Areas, which includes Pahamsyiem Umlyngkdait till Jorabat has been affected with flash flood at almost every downpour, disturbing their normal life.
Speaking to The Shillong Times, KSU, NKHD President Ferdynald K Kharkamni said that, the people of these areas have been badly affected with the flash floods this year, which they had not faced before and this has occurred only due to the lack of implementation of proper drainage systems along NH 40 and also due to the reallocation of hume pipe from their previous location.
“Local people and commuters had never witnessed such a major flood situation before but since the commencement of the four-lane project in the district, Nongpoh areas and its adjacent villages along the NH 40 have been immensely affected”, Kharkamni said.
He also said that the District Administration along with NHAI, NKC and the implementing agencies have failed to take important measures before starting the project,  ) especially to keep a
check on areas along the NH 40 which is prone to flash flood. He also added that the district administration and the implementing agencies must take serious note and initiative to prevent such situation in the future.
Kharkamni also said that the Student Union will soon submit the memorandum to the Deputy Commissioner, Ri Bhoi District on regard with the Toll Gate located at Pahammawlein, 20 Mile which will be functioning soon since its construction is going on at high pace. The Union stated that in the memo they would demand through the DC that the toll gate should not function in collecting taxes until and unless the four-lane project is complete in NH 40."
545,Police detain three friends of missing Assam student,"Friday, July 24, 2015","SHILLONG: Assam Police have detained three friends of Pranjal Das who went missing from Umtrew River in Ri-Bhoi district last Sunday.
The father of the missing boy, Maniram Das lodged a complaint at Byrnihat outpost, suspecting foul play. The FIR was forwarded to O/C Hatigaon PS, Assam.
As yet, the fate of the missing student from Guwahati is unknown even as it is suspected that he might have drowned into the river.
Ri Bhoi SP G.D. Kharwanlang said that police looked for him but could not trace him and also ruled out any foul play into the incident, adding that his friends have been questioned by the police. According        to Kharwanlang, information about the missing boy was provided very late to the police.
His mobile was switched off and the boy’s family had lodged an FIR at Hatigaon police station the next day while the father raised suspicion that the three boys might have kidnapped his son.
It may be mentioned that search operation was conducted by Fire and Emergency service too but the boy could not be located.
Pranjal Das ( 27), a student of Hiteswar Saikia College at Six Mile in Guwahati and his three friends — David Rabha (15), Partha Pratim Baishya (31) and Pankaj Basumatari ( 25) went to Umtrew on July 19.
The friends confessed to police that they were inebriated when Pranjal asked them to wait on the bridge for him. The boys kept waiting till sunset, but he did not return, police said. After making a vain search for Pranjal, the boys returned to Guwahati and came back next day to report at Byrnihat police outpost, the police said."
546,Visitors overcharged at tourist spots,"Friday, July 24, 2015","SHILLONG:  Hundreds of tourists flock to Shillong every year and are mesmerized by the beauty of the place but however many tourists complain that tourism sector is somehow quite expensive here.
Some of the tourists complain that shopkeepers in tourist spots like Shillong Peak, Elephant falls and Sohra overcharged visitors on almost every product they purchase. Many people say that they have to shell an extra Rs 5 or ten on most of the products which has a printed rate.
This thing should not happen as hundreds of tourists come here to enjoy the vacation,” a tourist hailing from Assam said.
Another tourist from West Bengal also say that they have to shell out good amount of money for parking their vehicles in Elephant falls and even in Shillong peak. According to tourists, they also do not like the undue formalities before entering Shillong Peak by the Armed Forces. The tourists also feel that the     infrastructure in the internal areas of Sohra should be improved by way of good roads and good hotels."
547,Cops escorting Mizoram Speaker injured in accident,"Friday, July 24, 2015","SHILLONG: Three police personnel sustained injuries when their Gypsy on escort duty with the Speaker of Mizoram Legislative Assembly turned turtle on the road at Umtrew in Ri Bhoi district on Wednesday.
Police said that the incident happened in the afternoon when the Police Gypsy    (ML-02-2862) driven by Unarmed Branch Constable I. Kharsyntiew turned turtle due to slippery road at Umtrew in Ri Bhoi.
In the incident, police personnel S. Ryngksai and two Battalion Constables sustained minor injuries."
548,Series of missing cases,"Friday, July 24, 2015","SHILLONG:  There has been a series of missing cases in the state over the last couple of days.
One Ibansyrpai Syngkli was reported missing from her residence at Mawiong Umjapung Rumnong, Shillong on Wednesday.
In a similar incident, one 39-year-old woman identified as  Precila Dkhar is also reported missing from her residence at Nongthymmai, since Wednesday.
A twenty year-old-girl identified as Chunki Dey has also been missing from her residence at Laban Shillong since July 20.
Meanwhile, One minor boy Irfan Ali (14) was reported missing from his residence at Mawbah, Shillong since July 13.
One 19- year-old girl Phrin Lyngkhoi (19 yrs) was also found missing from her residence at Nongspung village on July 21 and she was detected at Guwahati Airport."
549,Prohibitory Order,"Friday, July 24, 2015","Shillong: The District Magistrate, Ri Bhoi district, Nongpoh has issued a Prohibitory Order under Section 144 CrPC prohibiting any person or organization etc indulging in or resorting to the act of earth cutting at areas under Khanapara Police Station and Patharkhmah Out-Post.
This order has been issued in view that large scale, indiscriminate earth cutting are taking place at  areas under Khanapara Station and Patharkhmah Out-Post which may result in landslides, flash floods and erosion of soil which in turn may lead to the destruction of private properties, houses, dwellings ."
550,Hunger strike continues,"Friday, July 24, 2015",Govt mum on Gram Sevika list
551,Murder accused granted interim bail,"Friday, July 24, 2015",Police and victim’s family unhappy
552,Shillong Municipal warn against garbage burning,"Friday, July 24, 2015","SHILLONG: Burning garbage for the purpose of warming oneself is commonly practiced in Shillong, especially in the winter season.
Taking cognizance of the large scale pollution caused by burning of garbage, the Shillong Municipal Board has now prohibited garbage burning as per provisions of the Solid Waste (Management and Handling) Rules, 2000.
Shillong Municipal Board Chief Executive Officer said that anyone found burning garbage or garden waste in the open will be strictly dealt with as per provisions of the law.
He also asked people not to stack building materials like sand, stone or bricks, etc., on the roadside and if found lying for more than 12 hours, the SMB will remove it at the cost of owners."
553,Govt gets PWD proposal on road issue,"Friday, July 24, 2015","SHILLONG: The PWD has sent a proposal to the Government to repair the 21 kilometer long road from Mawhati village to inter-state border with Assam.
This was informed to Mawhati MDC, James Sylliang who met PWD minister Sniawbhalang Dhar on Thursday.
The MDC rued that road condition in Mawhati is in terrible condition and the movement of vehicles on the road is not feasible.
Stating that the bad roads create tremendous problems for sick people while being shifted to hospitals for treatment, he said that Mawhati PHC does not even have a doctor."
554,Youth Skill development programme held,"Friday, July 24, 2015","SHILLONG: Basin Development Unit, East Garo Hills District in collaboration with Food Craft Institute, Tura organized a 48-day Hunar Se Rozgar Tak (HSRT) Training Programme under Capacity Building for Service Provider of the Ministry of Tourism, particularly for Food Production to twenty five youth partners starting from July 25 at Williamnagar Model Farm, Terracegittim.
The program was inaugurated by Deputy Commissioner & Chairman, Basin Development Unit, East Garo Hills District, C. V .D Diengdoh.
Speaking on the occasion, he lauded the youth for undergoing the training and assured that their up gradation of skills in food production will enable them to avail support from various financial institutions for becoming a successful entrepreneurs thereby improving their livelihood."
555,Nominations for National Youth Awards 2014-2015,"Friday, July 24, 2015","SHILLONG: The office of the Deputy Commissioner, Ri Bhoi District, Nongpoh has invited nominations for the National Youth Awards, 2014-15 from individuals and voluntary organizations of Ri-Bhoi District who work for national development and community service. The last date for receiving nominations is on August 7. For further information and application forms, the General Branch, DC’s Office, Nongpoh may be contacted."
556,Fake notes detected,"Friday, July 24, 2015","SHILLONG: In a major detection, the fake Indian currency of over Rs 1 lakh was recovered from two persons in West Garo Hills.
Police said that on Wednesday night, acting on inputs two persons identified as Md. Afaz Mullah (38) and  Md. Joynal Abeddin (40) from Chibonggre, West Garo Hills were arrested. Police recovered Rs 1,04,500  of Fake Indian Currency from their possession."
557,Meghalaya Crime Update,"Friday, July 24, 2015","Man found dead
In the morning hours of July 22, Lorming Kharbyngar (34) was found dead in his house at Umtrew (RB). Reportedly, on July 21 at around 11 am, the deceased had been involved in a brawl with one Daniel Kharwar at Umtrew (RB). Necessary formalities were observed and the cadaver was sent to CH Nongpoh for PM examination. Police detained the accused and matter is under investigation.Theft
On July 22 at around 10 pm, unidentified miscreants, four to five in number, assaulted Pynshaibor Kharbani (30) near Grand Hotel Junction, GS Road, Shillong and looted Rs. 2,500 and one mobile phone. The matter is under enquiry.
On the night of July 20, unknown miscreants broke into a Fair Price Shop belonging to Thiangmon Shylla at Khliehriat (EJH) and stole Rs. 40,000 approximately.Accident
On July 22 at around 2.30 pm, one Tata Sumo (AS-01-DD-8850) knocked down Bell Dkhar (49) at Laitryngew (EKH). The victim sustained injuries and was removed to CH Shillong. The matter is under enquiry.
On July 22 at around 6.30 pm, one vehicle (number unknown) knocked down Shekhar Prasad (30) at Mawlonghat, Shillong. The victim sustained injuries and was removed to CH Shillong. The matter is under enquiry."
558,CBI files 13th FIR in Vyapam case,"Thursday, July 23, 2015","New Delhi: The CBI on Wednesday registered the 13th First Information Report (FIR) in its ongoing investigation into the Vyapam scam in Madhya Pradesh.
The FIR was registered against 52 people related to allegations of altering the Optical Mark Recognition (OMR) sheets by employees of Vyapam vis-a-vis the Transport Constable Recruitment Test of 2012.
The Central Bureau of Investigation has taken over the investigation of the scandal from the Special Task Force (STF) of the Madhya Pradesh Police. (IANS)"
559,Victoria’s mother seeks Assam Police report,"Thursday, July 23, 2015","SHILLONG: The mother of Victoria Kharkongor on Wednesday has urged the Meghalaya  DGP to  provide her  the report submitted by Assam Police to its Meghalaya counterpart in connection  with the death of her daughter.
In a letter to the DGP, the mother of the victim also asked police to urge the mobile service providers to provide her the  call details of Victoria’s two mobile phones which might help in the investigation.
Police on Monday arrested  one Manbha Kumar Haijam Syiem from the city in connection with the mysterious death of Victoria at Dispur Police station.
Victoria was found dead inside the toilet of  Dispur police station  where she reportedly committed suicide."
560,Creamy layer under HC scanner,"Thursday, July 23, 2015","Income tax exemption for tribals in Meghalaya
SHILLONG: The High Court of Meghalaya during the hearing on the pending issue of payment of income tax on Tuesday, wanted to know from the counsel of Income Tax department why  the tribals who fall in creamy layer (wealthier and better educated members) cannot pay income tax.
Earlier during the June 16  hearing on a related case, the High Court of Meghalaya had asked the Chairman, Central Board of Direct Taxes to file affidavit to clarify the position as to under what sanction of Law, the Income Tax Department is not charging tax from the tribals whose sources of earning are from the Municipal area of Shillong.
The Income Tax department in the subsequent hearing on June 30 had sought three weeks time to file the affidavit.
Going a step further, the High Court during the hearing on the matter on July 21 asked the Income Tax Department to file an affidavit as to why the tribals who fall in  creamy layer  cannot pay income tax.
The Advocate for Income Tax department sought four weeks time to file affidavits for both the questions put forward by the Court which include the need on the part of tribals residing in Municipal areas and those tribals who are wealthy to be brought under the purview of income tax. The next hearing will be held on August 17.
Earlier, in the June 16 order, the Division Bench comprising Chief Justice Uma Nath Singh, and Justice SR Sen wanted to know why tax is not charged from the tribals  who are also the residents of the Municipal area and “who are said to amass and possess the maximum wealth, and control almost 90% of sources of income of Meghalaya to the disadvantage of poor natives settled in the semi-urban and the rural areas. It is also said that even the benefits of central funds and the state natural resources are confined to only in the hands of a very few elite native population and the rest are finding difficult even to make their both ends meet”.
In this regard, the Court asked the Chief Executive Officer, Shillong Municipal Board to file affidavit describing and specifying the total Municipal area of Shillong."
561,"Court frames charges, trial to begin soon","Thursday, July 23, 2015",Salahuddin pleads not guilty
562,Wait for VAB nod prolongs,"Thursday, July 23, 2015","Guv tells headmen’s body to have patience
SHILLONG: The wait for the clearance to Village Administration Bill (VAB) will be longer as the Meghalaya Governor V. Shanmuganathan needed more time to study various aspects of the Bill before giving his nod.
During a meeting with the delegation of headmen under the banner, Joint Action Committee of Synjuk Ki Rangbah Shnong of Khasi and Jaintia Hills region on Wednesday at Raj Bhavan, the Governor told them to have patience as he was still examining various clauses of the Bill.
The President of Joint Action Committee of Synjuk Ki Rangbah Shnong Dr W Kharshiing told reporters after the meeting that the Governor would take some more time to examine the Bill properly and wanted the traditional heads to be patient.
The delegation has urged the Governor to give assent to the pending Bills passed by both   KHADC and JHADC at the earliest as they have been facing difficulties in issuing various certificates.
According to Kharshiing,  the delegation accepted the suggestion of the Governor to wait for some more time and termed the meeting with the Governor as positive.
The former KHADC CEM Adelbert Nongrum had announced a meeting on July 25 with the traditional heads, pressure groups, and political parties to discuss the Ordinance to empower headmen passed by the Government and the Village Administration Bill, but the Joint Action Committee of Synjuk Ki Rangbah Shnong said that they are yet to get any invitation in this regard."
563,Nurul case hearing,"Thursday, July 23, 2015","SHILLONG: The case related to Nurul Islam, the former officer in charge of Ampati Police station accused of raping two girls, came up for hearing  in the district court on Wednesday. According to sources, since the records were called by the High Court, the matter will be taken up in the next hearing.
Islam recently obtained bail, but he was asked to be present  during the trial as charge sheet has already been framed by the police."
564,Champion skips hearing,"Thursday, July 23, 2015","SHILLONG:  The arrested GNLA Chairman  Champion Sangma  could not attend court hearing  on Wednesday as he was unwell.
Sources said that he was to be produced before the District Court on Wednesday with regard to the pending cases, but the court was informed that he was indisposed."
565,No info on UCIL letter on road handover: CEM,"Thursday, July 23, 2015","SHILLONG: KHADC CEM Pynshngaiñ N Syiem has no information regarding the UCIL’s letter regarding handing over of Wahkaji-Mawthabah road.
“I have to crosscheck with my officials in this regard . But so far I have no information about the letter,” Syiem said on Wednesday.
The Officer on Special Duty (OSD) of UCIL FD Rynjah in a statement had claimed that the company had written a letter to the secretary of the KHADC stating that it (UCIL) had no objection in handing over the  Wahkaji-Mawthabah road.
“A similar letter was sent to the PWD NH (Roads) on June 23,” Rynjah had stated.
He also stated that the UCIL welcomed the SARDP-NE road initiative as the road would be a boon for all the residents of the area by bringing better connectivity and benefits.
Earlier, it was reported that the KHADC is yet to take a decision to hand over the Mawthabah-Wahkaji road project.
After receiving a letter from the Ministry, the State Government had written to the Council with a request for handing over of the land from Wahkaji to Mawthabah.
It was revealed that the previous KHADC Executive Committee headed by ARPA had kept the matter pending since it did not want to take any decision in this regard in the wake of opposition to uranium mining in South West Khasi Hills.
“The previous EC had refrained from taking any decision since there were growing speculations that the road was constructed by UCIL to facilitate uranium mining in the State,” sources said.
According to sources, the present Executive Committee is yet to have a discussion on the matter."
566,Token system on the cards,"Thursday, July 23, 2015","Small change is a big problem in STPS buses
SHILLONG:  The State Government has decided to introduce token system in the SPTS buses to counter the problem of change money.
Indicating this, the Principal Secretary to the Urban Affairs Department  P Naik  on Wednesday said that based on the complaints that many times passengers do not get back the small change  from conductors he has come to this decision of introducing token system.
“Passengers will able to reuse the token in other SPTS buses as well,” he said adding that the new system will become effective shortly.
Reacting to a query, he said that things have improved a lot when it comes to the functioning of the buses even as promised that things will improve further.
Out of the 120 buses, sanctioned earlier for the state, around 75 buses are still operating while around 20 buses are lying idle in the need of repair.
However, other remaining buses (25) will be auctioned since their repairing cost will be too high, he added.
The State will shortly receive around 50 more buses.Stating that the Government   intends to reduce to the time between the arrivals of two buses, the Government would soon monitor the movement of the buses through GPS.
He also mentioned that the department will look into the reduction of congestion in Motprhran. And for all these buses Polo will be the starting point."
567,Agitating gram sevikas turn to Governor for succour,"Thursday, July 23, 2015",Tynsong’s statement on vacancies misleading: Candidates
568,"Don’t buy time for coal mine owners, AHRC tells State Govt","Thursday, July 23, 2015","SHILLONG: The Asian Human Rights Commission has appealed the Meghalaya Government to stop seeking more time for coal mine owners to dispose of the extracted coal.
The AHRC said that the State Government has placed an application before the National Green Tribunal to extend the date of transportation and payment of royalty on coal.
According to the AHRC, this application has been made despite the government and mine owners having had one entire year to clear out the previously extracted coal.
“If the Tribunal grants permission to extend the date, the decision will only benefit the coal mine owners allowing them to continue illegal mining in Meghalaya, and thereby cause   greater environmental damage and affecting the community and the labourers (children and adults) who are risking their lives in dark pits,” the AHRC said.
The AHRC added that the National Green Tribunal had imposed a ban on rat hole mining in Meghalaya on April 17 to mitigate the consequent effects, but subsequently the National Green Tribunal allowed transportation of previously extracted coal.
“This allowed the coal mine owners to take advantage of the situation,” the AHRC said.
It may be reminded that the NGT court will hear the case related to ban on coal mining in Meghalaya on Thursday."
569,KSU alleges pollution of river by mining firm in WKH,"Thursday, July 23, 2015","NONGSTOIN: Allegations of dumping of waste discharge directly into the Riwiang river were leveled against the Shakhambari Ferro Alloy Private Ltd., Riwiang.
The Khasi Students’ Union (KSU) Riwiang Area Unit along with local media persons, on Wednesday, inspected the Riwiang river and found that the river was being contaminated by waste products discharged from the company.
The river is a source of drinking water for residents of nearly 20 villages.
Residents of Riwiang village had recently complained to the company about bad smell emanating from the dumping ground which was posing health hazards to the public, especially those residing near the company site, but there was no response from the company officials.
Incidentally, during Wednesday’s inspection, the manager of the company refused to talk either to the media persons or the KSU members and instead claimed that there was no waste flow into the river.
The KSU unit later said that a complaint would be lodged with the West Khasi Hills deputy commissioner and with the Meghalaya State Pollution Control Board against the mining company."
570,News Capsule,"Thursday, July 23, 2015","Meeting
On the occasion of World Population Day, the State Health Department will hold a State-level Advocacy Meeting on July 24 at 10 am at U Soso Tham Auditorium, Shillong. Health and Family Welfare Minister , A.L. Hek, will attend as the chief guest. All State and district Health officials and students will attend the meeting.Conference
The Shillong Obstetrics & Gynaecological Society will have its 26th annual conference on July 25-26. A live Ultrasonography workshop will be held on July 25 at Bethany Hospital followed by a one-day CME on relevant topics on July 26 at Pinewood Hotel. Eminent speakers from all over the country will be deliberating.Hunger strike
As part of its all India programme, All India BSNL DOT Pensioners’ Association, Meghalaya District, will hold a relay hunger strike on July 21-22, outside the Controller of Communications Accounts Office, demanding settlement of their long pending demands.Launch
Aptech English Learning Academy has launched its centre at Laitumkhrah. Anirban Das, general manager, Retail Division, Aptech inaugurated the centre.Seminar
UGC will sponsor a two-day national seminar on Climatic Aberrations of the Anthropogenic Climate in Socio and Ecological issues, to be organized jointly by the Departments of Chemistry and Botany, Sankardev College, Shillong, on July 23-24.Notice
Police have issued a look out notice against one Harvest Sunn (40), son of Laimon Sunn of Lumkshaid, Lower Mawprem, who has been missing since July 8. He is 5’8” and is said to be mentally imbalanced.PDS rice
The Deputy Commissioner (Supply) West Jaintia District has informed that the Annapurna rice has been released for the month of April, 2014 to March, 2015 at the scale of 3.83 kg per card. Ladmukhla fair price shop dealers will cover the beneficiaries under Thadlaskein Block and Laskein fair price shop dealers will cover all beneficiaries under Laskein Block.Lok Adalat
The Deputy Commissioner, West Khasi Hills District has informed that the Monthly National Lok Adalat relating to bank matters will be held at District Civil Courts, Nongstoin, on August 8 at 10 am.Holiday
The West Jaintia Hills Deputy Commissioner has declared July 27 as a local holiday on account of Behdeinkhlam festival at Tuber. All State Govt. Offices, Revenue and Magisterial Courts and educational institutions in the district shall remain closed on the date.Tools distributed
The office of the BDO, Amlarem C&RD Block, distributed tools under MNREGS to 92 Village Employment Councils on Tuesday. Tools distributed included spades, shovels, crow bars, besides other materials including poly-water tops, first aid boxes, tarpaulins, buckets, tables, chairs, calculators and measuring tapes."
571,‘Political affiliations weakened GHADC’,"Thursday, July 23, 2015","SHILLONG: Former ANVC-B leader Bernard Rimpu Marak on Wednesday called for de-politicizing the Garo Hills Autonomous District Council and threatened to lead a third front party to safeguard the interest of the people and to materialize the signed peace pact with the Government.
Alleging that there was a plan on the part of the Congress to re-capture the Council, Marak asserted that the GHADC was not supposed to face any anomaly in its functioning and execution of its duty, unlike what it is experiencing today.
“The architects of the ADCs had made sure that the Council would be an independent autonomous tribal institution. But the ADCs in general and the GHADC in particular have weakened since our elected MDCs have affiliated themselves to the ruling political parties in the State,” the former militant leader said.
He said that the State functionaries were parallel to the functionaries of the Council with defined parameters and the State could not control the Council, but through political affiliations, the Executive Members of the Council have made internal arrangements which led to handing over of many departments to the State Government including replacing town committees with municipality even in the Sixth Schedule area.
He pointed out that the GHADC was never meant to be under the State since the ADCs were constituted much before Meghalaya came into being as a State.
The former militant leader made the remarks in the context of reports that the GHADC staff had not been paid their salaries for the past five months."
572,Training centre for animal rearing,"Thursday, July 23, 2015","SHILLONG: The Mawsynram Assembly Youth Congress has informed that Animal Husbandry and Veterinary Director, Dr. J.S Jyrwa, has assured that an animal rearing training centre for farmers would be made operational at Hynniew Mer, Upper Shillong, by September this year.
According to MAYC, the new training centre will accommodate training modules for a period of six months and even for a year.
The MAYC further informed that the department has respended positively to their demand for establishment of a similar training centre at Mawsynram."
573,GSU demands relocation of CRPF from college grounds,"Thursday, July 23, 2015","TURA: Several NGOs in South Garo Hills have urged the district administration to provide alternative accommodation to the central paramilitary forces occupying land belonging to Captain Williamson Memorial Government College in Baghmara.
In a statement issued on Wednesday, the NGOs comprising of the Garo Students’ Union (GSU), Southern Zone, Federation of Khasi Jaintia and Garo People (FKJGP), Association for Democracy and Empowerment (ADE) and the Baghmara Citizens Forum (BCF) informed that the issue was brought to the notice of District Deputy Commissioner, S N Marak during their meeting on July 20.
“The property of the college has been occupied by CRPF for the last ten years. If they were to be relocated, the same site could have been used by the college for constructing a Girls’ Hostel,” the union said.
Meanwhile, the NGOs also raised the issue of a large number of water supply pipelines of PHE department at Rompa and Simsang bridges which had become an eyesore for people.
“We have also urged the Deputy Commissioner to facilitate the removal of pipes from the bridges and divert it somewhere else as it is causing inconvenience to pedestrians and ruining the beauty of the bridges,” it said."
574,Man charged with illegal use of ST surname,"Thursday, July 23, 2015","SHILLONG: A compliant was lodged against one Yunus Nongrum by CSWO president Agnes Kharshiing for his alleged impersonation and disguise using the surname of Nongrum, thereby cheating the Khasi people especially the members of the Nongrum clan.
According to the CSWO, neither Yunus nor his mother Jamila Khatoon or his father Laimia Mo are tribals, but he still managed to get the surname of Nongrum."
575,Quiz competition,"Thursday, July 23, 2015","JOWAI: Sein Raij Higher Secondary School, Jowai was adjudged first place in a Quiz competition organised by Jowai Municipal Board on Tuesday at District Library Auditorium, Jowai.
Out of seven schools and colleges that participated in the competition, Thadlaboh Presbyterian Higher Secondary School bagged the second prize while Thomas Jones Synod College came third.
The Quiz competition was organised as part of the Swachh Bharat Week to propagate the Swachh Bharat Mission."
